REGION,FUEL,YEAR,VALUE
REGION1,BGNG,2040,73,5702278322942
REGION1,BGNG,2041,74,0730063106586
REGION1,BGNG,2042,74,5757847890229
REGION1,BGNG,2043,75,0785632673873
REGION1,BGNG,2044,75,5813417457517
REGION1,BGNG,2045,76,0841202241159
REGION1,BGNG,2046,76,3696925206983
REGION1,BGNG,2047,76,6552648172806
REGION1,BGNG,2048,76,940837113863
REGION1,BGNG,2049,77,2264094104453
REGION1,BGNG,2050,77,5119817070276
REGION1,BGNG,2051,77,5119817070276
REGION1,BGNG,2052,77,5119817070276
REGION1,BGNG,2053,77,5119817070276
REGION1,BGNG,2054,77,5119817070276
REGION1,BGNG,2055,77,5119817070276
REGION1,BGNG,2056,77,5119817070276
REGION1,BGNG,2057,77,5119817070276
REGION1,BGNG,2058,77,5119817070276
REGION1,BGNG,2059,77,5119817070276
REGION1,BGNG,2060,77,5119817070276
REGION1,CZNG,2015,241,60649072147
REGION1,CZNG,2016,239,999519661893
REGION1,CZNG,2017,238,392548602316
REGION1,CZNG,2018,236,785577542738
REGION1,CZNG,2019,235,178606483161
REGION1,CZNG,2020,233,571635423583
REGION1,CZNG,2021,234,792175366917
REGION1,CZNG,2022,236,012715310252
REGION1,CZNG,2023,237,233255253586
REGION1,CZNG,2024,238,45379519692
REGION1,CZNG,2025,239,674335140254
REGION1,CZNG,2026,234,040876366266
REGION1,CZNG,2027,228,407417592278
REGION1,CZNG,2028,222,773958818291
REGION1,CZNG,2029,217,140500044303
REGION1,CZNG,2030,211,507041270315
REGION1,CZNG,2031,206,579508006252
REGION1,CZNG,2032,201,651974742189
REGION1,CZNG,2033,196,724441478126
REGION1,CZNG,2034,191,796908214063
REGION1,CZNG,2035,186,86937495
REGION1,CZNG,2036,184,224535308866
REGION1,CZNG,2037,181,579695667732
REGION1,CZNG,2038,178,934856026599
REGION1,CZNG,2039,176,290016385465
REGION1,CZNG,2040,173,645176744331
REGION1,CZNG,2041,175,30929497406
REGION1,CZNG,2042,176,973413203788
REGION1,CZNG,2043,178,637531433517
REGION1,CZNG,2044,180,301649663246
REGION1,CZNG,2045,181,965767892974
REGION1,CZNG,2046,179,859511789099
REGION1,CZNG,2047,177,753255685223
REGION1,CZNG,2048,175,646999581347
REGION1,CZNG,2049,173,540743477471
REGION1,CZNG,2050,171,434487373595
REGION1,CZNG,2051,171,434487373595
REGION1,CZNG,2052,171,434487373595
REGION1,CZNG,2053,171,434487373595
REGION1,CZNG,2054,171,434487373595
REGION1,CZNG,2055,171,434487373595
REGION1,CZNG,2056,171,434487373595
REGION1,CZNG,2057,171,434487373595
REGION1,CZNG,2058,171,434487373595
REGION1,CZNG,2059,171,434487373595
REGION1,CZNG,2060,171,434487373595
REGION1,DENG,2015,2140,15677935705
REGION1,DENG,2016,2143,07718908098
REGION1,DENG,2017,2145,99759880492
REGION1,DENG,2018,2148,91800852885
REGION1,DENG,2019,2151,83841825279
REGION1,DENG,2020,2154,75882797672
REGION1,DENG,2021,2129,22756109732
REGION1,DENG,2022,2103,69629421791
REGION1,DENG,2023,2078,16502733851
REGION1,DENG,2024,2052,63376045911
REGION1,DENG,2025,2027,1024935797
REGION1,DENG,2026,1973,1406667507
REGION1,DENG,2027,1919,1788399217
REGION1,DENG,2028,1865,21701309271
REGION1,DENG,2029,1811,25518626371
REGION1,DENG,2030,1757,29335943471
REGION1,DENG,2031,1739,09426981665
REGION1,DENG,2032,1720,89518019859
REGION1,DENG,2033,1702,69609058054
REGION1,DENG,2034,1684,49700096248
REGION1,DENG,2035,1666,29791134442
REGION1,DENG,2036,1647,52609038117
REGION1,DENG,2037,1628,75426941791
REGION1,DENG,2038,1609,98244845465
REGION1,DENG,2039,1591,21062749139
REGION1,DENG,2040,1572,43880652814
REGION1,DENG,2041,1574,38104928456
REGION1,DENG,2042,1576,32329204098
REGION1,DENG,2043,1578,26553479741
REGION1,DENG,2044,1580,20777755383
REGION1,DENG,2045,1582,15002031025
REGION1,DENG,2046,1572,97002225316
REGION1,DENG,2047,1563,79002419607
REGION1,DENG,2048,1554,61002613898
REGION1,DENG,2049,1545,43002808189
REGION1,DENG,2050,1536,25003002481
REGION1,DENG,2051,1536,25003002481
REGION1,DENG,2052,1536,25003002481
REGION1,DENG,2053,1536,25003002481
REGION1,DENG,2054,1536,25003002481
REGION1,DENG,2055,1536,25003002481
REGION1,DENG,2056,1536,25003002481
REGION1,DENG,2057,1536,25003002481
REGION1,DENG,2058,1536,25003002481
REGION1,DENG,2059,1536,25003002481
REGION1,DENG,2060,1536,25003002481
REGION1,DKNG,2015,106,513167805372
REGION1,DKNG,2016,104,086921426465
REGION1,DKNG,2017,101,660675047558
REGION1,DKNG,2018,99,2344286686518
REGION1,DKNG,2019,96,8081822897452
REGION1,DKNG,2020,94,3819359108386
REGION1,DKNG,2021,95,1907957065844
REGION1,DKNG,2022,95,9996555023302
REGION1,DKNG,2023,96,808515298076
REGION1,DKNG,2024,97,6173750938218
REGION1,DKNG,2025,98,4262348895676
REGION1,DKNG,2026,95,7900392804206
REGION1,DKNG,2027,93,1538436712736
REGION1,DKNG,2028,90,5176480621266
REGION1,DKNG,2029,87,8814524529796
REGION1,DKNG,2030,85,2452568438326
REGION1,DKNG,2031,86,0607599009293
REGION1,DKNG,2032,86,876262958026
REGION1,DKNG,2033,87,6917660151227
REGION1,DKNG,2034,88,5072690722194
REGION1,DKNG,2035,89,3227721293161
REGION1,DKNG,2036,89,1742895750889
REGION1,DKNG,2037,89,0258070208617
REGION1,DKNG,2038,88,8773244666344
REGION1,DKNG,2039,88,7288419124072
REGION1,DKNG,2040,88,58035935818
REGION1,DKNG,2041,89,3701668726052
REGION1,DKNG,2042,90,1599743870303
REGION1,DKNG,2043,90,9497819014555
REGION1,DKNG,2044,91,7395894158806
REGION1,DKNG,2045,92,5293969303057
REGION1,DKNG,2046,92,6186227160036
REGION1,DKNG,2047,92,7078485017015
REGION1,DKNG,2048,92,7970742873994
REGION1,DKNG,2049,92,8863000730973
REGION1,DKNG,2050,92,9755258587952
REGION1,DKNG,2051,92,9755258587952
REGION1,DKNG,2052,92,9755258587952
REGION1,DKNG,2053,92,9755258587952
REGION1,DKNG,2054,92,9755258587952
REGION1,DKNG,2055,92,9755258587952
REGION1,DKNG,2056,92,9755258587952
REGION1,DKNG,2057,92,9755258587952
REGION1,DKNG,2058,92,9755258587952
REGION1,DKNG,2059,92,9755258587952
REGION1,DKNG,2060,92,9755258587952
REGION1,EENG,2015,17,4682027276871
REGION1,EENG,2016,17,239566971089
REGION1,EENG,2017,17,0109312144908
REGION1,EENG,2018,16,7822954578926
REGION1,EENG,2019,16,5536597012945
REGION1,EENG,2020,16,3250239446963
REGION1,EENG,2021,15,4468898977829
REGION1,EENG,2022,14,5687558508694
REGION1,EENG,2023,13,690621803956
REGION1,EENG,2024,12,8124877570426
REGION1,EENG,2025,11,9343537101292
REGION1,EENG,2026,11,0471750767919
REGION1,EENG,2027,10,1599964434545
